Year,Full Name,AI_AN Prev Cases,AI_AN Prev Rates,Asian Prev Cases,Asian Prev Rates,Black Prev Cases,Black Prev Rates,Latino Prev Cases,Latino Prev Rates,Multi Prev Cases,Multi Prev Rates,NH_OPI Prev Cases,NH_OPI Prev Rates,White Prev Cases,White Prev Rates
2012,Michigan,27,58.7,82,38.1,7792,691.2,801,245.3,571,478,4,199.9,4790,74.1
2012,Minnesota,102,233.4,109,59.9,2363,1103.1,690,380.6,287,477.5,4,236.7,3465,91.9
2012,Mississippi,9,82.3,10,43.4,6048,689.4,260,418,405,2394.9,1,126.4,1631,111.9
2012,Missouri,8,38.2,52,59.1,4582,820.4,575,360.5,380,565.5,2,40.8,5189,126
2012,Montana,27,59.6,0,0,16,398.6,25,108.8,26,173.1,1,185.2,396,52.8
2012,Nebraska,21,185.7,23,79.4,501,775.1,268,217.7,60,368.9,1,121.8,964,76
2012,Nevada,30,148.5,186,104.3,1604,887,1714,310.3,257,492.5,16,122.7,3346,262.6
2012,New Hampshire,0,0,8,30.5,125,1017.8,152,511,42,357.5,0,0,797,75.8
2012,New Jersey,9,86.6,240,37.6,15007,1589.2,9077,709.4,2493,3229.5,5,224.3,6394,143.5
2012,New Mexico,199,141,11,43.9,172,558.1,1375,180.3,98,486.7,1,86.3,1087,147.9
2012,New York,44,93.8,1331,101.6,43934,1846.2,41921,1484,9890,4971.8,14,204.7,21674,221.8
2012,North Carolina,146,160,101,53.3,16394,961.6,1906,327.4,1166,1222.1,8,175,6576,121
2012,North Dakota,10,37.3,0,0,47,612.9,17,142.4,9,132.5,0,0,156,29.7
2012,Ohio,9,48.2,68,39.1,7648,677.2,1160,429.5,805,663.1,1,35,8344,105.1
2012,Oklahoma,258,105.2,40,66.6,1161,518,490,198.7,296,221.1,6,168.3,2937,132.4
2012,Oregon,44,121.1,96,73.3,401,726.7,794,237.4,200,257.9,11,97.7,4473,169.7
2012,Pennsylvania,22,147.2,173,54.7,15141,1374,5293,916,1631,1503.6,18,681.8,9520,109.3
2012,Rhode Island,6,166.5,29,102.7,487,1033.6,589,555.4,55,432.2,1,192.3,996,141.4
2012,South Carolina,9,62,34,62.4,10551,998.4,707,403.2,443,1146.7,2,104.7,3618,139.3
2012,South Dakota,56,110.9,3,39,90,903.3,25,136.1,11,123.7,0,0,231,39.4
2012,Tennessee,8,54.1,51,62,8637,993.4,753,350.5,566,1000.6,6,240.8,5686,137.4
2012,Texas,23,31.9,533,60.9,25564,1046.4,22323,299.7,3544,1701.2,14,88.4,19535,196.6
