Full Name,F Diag 08,F Diag Rate 08,M Diag 08,M Diag Rate 08,F Diag 09,F Diag Rate 09,M Diag 09,M Diag Rate 09,F Diag 10,F Diag Rate 10,M Diag 10,M Diag Rate 10,F Diag 11,F Diag Rate 11,M Diag 11,M Diag Rate 11,F Diag 12,F Diag Rate 12,M Diag 12,M Diag Rate 12,F Diag 13,F Diag Rate 13,M Diag 13,M Diag Rate 13,F Diag 14,F Diag Rate 14,M Diag 14,M Diag Rate 14,F Diag 15,F Diag Rate 15,M Diag 15,M Diag Rate 15,F Diag 16,F Diag Rate 16,M Diag 16,M Diag Rate 16,F Diag 17,F Diag Rate 17,M Diag 17,M Diag Rate 17,F Diag 18,F Diag Rate 18,M Diag 18,M Diag Rate 18
Albany County NY,15,11.2,39,32,14,10.4,23,18.8,13,9.5,24,19.1,8,5.8,22,17.4,7,5.1,35,27.6,5,3.6,21,16.5,5,3.6,22,17.2,6,4.3,18,14,,,,,5,3.6,30,23.4,8,5.8,18,14
Albany County WY,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,
Albemarle County VA,,,,,,,,,,,,,,,,,,,,,0,0,9,21.9,,,,,0,0,5,11.8,,,,,0,0,0,0,,,,
Alcona County MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcorn County MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,39.8,,,,,,,,,,,,
Aleutians East Borough AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aleutians West Census Area AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County IL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander County NC,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandria City VA,8,12.5,38,64.4,13,19.7,29,47.5,9,14.2,35,60.5,10,15.4,30,50.6,6,9.1,25,41.4,6,9,26,42.4,8,11.8,20,32.3,10,14.5,27,43.1,9,12.8,36,56.3,12,16.8,18,27.7,9,12.5,18,27.6
Alfalfa County OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alger County MI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allamakee County IA,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegan County MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegany County MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegany County NY,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Alleghany County NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alleghany County VA,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Allegheny County PA,27,4.9,122,24.7,24,4.3,100,20.2,12,2.2,118,23.6,26,4.7,99,19.7,22,4,99,19.6,15,2.7,100,19.7,22,3.9,103,20.2,28,5,109,21.4,21,3.8,103,20.3,17,3.1,72,14.2,10,1.8,75,14.8
Allen County IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3.9,23,15.8,,,,,,,,
Allen County KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
Allen County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen County OH,,,,,0,0,6,14.1,,,,,,,,,,,,,5,11.5,8,18.2,,,,,,,,,,,,,,,,,,,,
Allen Parish LA,0,0,6,49.4,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,
Allendale County SC,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,
Alpena County MI,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0
Alpine County CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador County CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelia County VA,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,
Amherst County VA,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,
Amite County MS,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,
Anchorage Municipality AK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson County KS,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Anderson County KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson County SC,6,7.6,9,12.5,,,,,,,,,,,,,,,,,,,,,5,6,15,19.6,,,,,,,,,,,,,,,,
Anderson County TN,,,,,,,,,,,,,,,,,,,,,0,0,7,22.7,,,,,,,,,,,,,,,,,,,,
Anderson County TX,,,,,6,32.5,20,66.6,,,,,6,31.9,15,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrew County MO,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0
Andrews County TX,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0
Androscoggin County ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angelina County TX,,,,,0,0,10,30.5,7,19.4,7,20.6,,,,,,,,,0,0,7,20.4,,,,,,,,,,,,,,,,,,,,
