Year,Geography,Heterosexual contact,Injection drug use,Male-to-male sexual contact,Male-to-male sexual contact and injection drug use,Other
2014,"Jackson County, OK",Data suppressed,Data suppressed,6,0,0
2014,"Jackson County, OR",34,34,123,Data suppressed,Data suppressed
2014,"Jackson County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jackson County, TN",5,Data suppressed,5,Data suppressed,0
2014,"Jackson County, TX",5,0,5,0,0
2014,"Jackson County, WI",0,Data suppressed,Data suppressed,Data suppressed,0
2014,"Jackson County, WV",Data suppressed,Data suppressed,13,Data suppressed,0
2014,"Jackson Parish, LA",7,Data suppressed,11,Data suppressed,0
2014,"James City County, VA",25,Data suppressed,34,Data suppressed,0
2014,"Jasper County, GA",9,Data suppressed,12,Data suppressed,0
2014,"Jasper County, IA",15,Data suppressed,13,6,Data suppressed
2014,"Jasper County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jasper County, IN",Data suppressed,6,13,Data suppressed,Data suppressed
2014,"Jasper County, MO",26,10,91,14,0
2014,"Jasper County, MS",14,Data suppressed,19,Data suppressed,0
2014,"Jasper County, SC",16,Data suppressed,16,Data suppressed,0
2014,"Jasper County, TX",17,8,17,6,0
2014,"Jay County, IN",Data suppressed,0,7,0,Data suppressed
2014,"Jeff Davis County, GA",12,Data suppressed,11,Data suppressed,Data suppressed
2014,"Jeff Davis County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jefferson County, AL",959,257,"1,943",150,38
2014,"Jefferson County, AR",75,33,128,Data suppressed,Data suppressed
2014,"Jefferson County, CO",71,46,365,57,8
2014,"Jefferson County, FL",30,13,67,13,0
2014,"Jefferson County, GA",18,6,17,Data suppressed,Data suppressed
2014,"Jefferson County, IA",Data suppressed,0,6,Data suppressed,0
2014,"Jefferson County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jefferson County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jefferson County, IN",6,Data suppressed,9,Data suppressed,Data suppressed
2014,"Jefferson County, KS",Data suppressed,Data suppressed,Data suppressed,Data suppressed,Data suppressed
2014,"Jefferson County, KY",555,258,"1,658",140,22
2014,"Jefferson County, MO",30,12,106,Data suppressed,Data suppressed
2014,"Jefferson County, MS",10,Data suppressed,11,Data suppressed,0
2014,"Jefferson County, MT",0,Data suppressed,Data suppressed,0,Data suppressed
