Year,Geography,Female,,Male,
2008,"Calaveras County, CA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calcasieu Parish, LA",140,178.9,322,442
2008,"Caldwell County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caldwell County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caldwell County, NC",12,35.2,41,125.1
2008,"Caldwell County, TX",10,64.7,30,199.9
2008,"Caldwell Parish, LA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caledonia County, VT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, AL",49,98.4,106,238
2008,"Calhoun County, AR",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, FL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, GA",9,452.5,43,1380.4
2008,"Calhoun County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, MI",41,70,66,120.8
2008,"Calhoun County, MS",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, SC",11,164.6,13,222.1
2008,"Calhoun County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calhoun County, WV",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Callahan County, TX",0,0,6,111.9
2008,"Callaway County, MO",5,28.2,119,630.7
2008,"Calloway County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calumet County, WI",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Calvert County, MD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Camas County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Cambria County, PA",26,40.9,75,123
2008,"Camden County, GA",23,115.1,41,223.3
2008,"Camden County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Camden County, NC",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Camden County, NJ",461,206.9,"1,137",552.7
2008,"Cameron County, PA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Cameron County, TX",102,67.2,393,291.3
2008,"Cameron Parish, LA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Camp County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Campbell County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Campbell County, SD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Campbell County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Campbell County, VA",15,65,32,146.9
2008,"Campbell County, WY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Canadian County, OK",17,38.9,81,187.6
2008,"Candler County, GA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Cannon County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Canyon County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Cape Girardeau County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Cape May County, NJ",73,166.3,124,310.3
2008,"Carbon County, MT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carbon County, PA",17,60.9,27,101.8
2008,"Carbon County, UT",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carbon County, WY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caribou County, ID",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carlisle County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carlton County, MN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caroline County, MD",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Caroline County, VA",14,120.6,24,213.8
2008,"Carroll County, AR",7,60.3,24,209.2
2008,"Carroll County, GA",49,102.9,136,304.7
2008,"Carroll County, IA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, IL",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, IN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, MD",31,43.3,82,118.4
2008,"Carroll County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, MS",6,134.9,11,250.2
2008,"Carroll County, NH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, OH",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, TN",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carroll County, VA",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carson City, NV",22,100,122,515.3
2008,"Carson County, TX",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carter County, KY",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carter County, MO",Data suppressed,Data suppressed,Data suppressed,Data suppressed
2008,"Carter County, MT",0,0,0,0
2008,"Carter County, OK",5,24.7,22,118
2008,"Carter County, TN",8,31.3,29,114
2008,"Carteret County, NC",13,45.7,36,135.4
