State,County,Geography,FIPS,Cases,Rate per 100000,Population,Indicator,Year
TX,Loving County,"Loving County, TX",48301,0,0,117,HIV diagnoses,2018
GA,Lowndes County,"Lowndes County, GA",13185,30,31.3,"95,699",HIV diagnoses,2018
AL,Lowndes County,"Lowndes County, AL",1085,0,0,"8,329",HIV diagnoses,2018
MS,Lowndes County,"Lowndes County, MS",28087,7,14.3,"48,864",HIV diagnoses,2018
TX,Lubbock County,"Lubbock County, TX",48303,47,18.5,"254,190",HIV diagnoses,2018
OH,Lucas County,"Lucas County, OH",39095,46,12.8,"358,589",HIV diagnoses,2018
IA,Lucas County,"Lucas County, IA",19117,0,0,"7,222",HIV diagnoses,2018
MI,Luce County,"Luce County, MI",26095,0,0,"5,564",HIV diagnoses,2018
GA,Lumpkin County,"Lumpkin County, GA",13187,0,0,"28,864",HIV diagnoses,2018
NM,Luna County,"Luna County, NM",35029,0,0,"19,379",HIV diagnoses,2018
VA,Lunenburg County,"Lunenburg County, VA",51111,0,0,"10,480",HIV diagnoses,2018
PA,Luzerne County,"Luzerne County, PA",42079,21,7.7,"273,671",HIV diagnoses,2018
PA,Lycoming County,"Lycoming County, PA",42081,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
SD,Lyman County,"Lyman County, SD",46085,0,0,"2,979",HIV diagnoses,2018
VA,Lynchburg City,"Lynchburg City, VA",51680,10,14.2,"70,349",HIV diagnoses,2018
TX,Lynn County,"Lynn County, TX",48305,0,0,"4,735",HIV diagnoses,2018
NV,Lyon County,"Lyon County, NV",32019,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MN,Lyon County,"Lyon County, MN",27083,0,0,"20,762",HIV diagnoses,2018
KY,Lyon County,"Lyon County, KY",21143,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KS,Lyon County,"Lyon County, KS",20111,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IA,Lyon County,"Lyon County, IA",19119,0,0,"9,410",HIV diagnoses,2018
MI,Mackinac County,"Mackinac County, MI",26097,0,0,"9,643",HIV diagnoses,2018
MI,Macomb County,"Macomb County, MI",26099,77,10.3,"746,151",HIV diagnoses,2018
GA,Macon County,"Macon County, GA",13193,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AL,Macon County,"Macon County, AL",1087,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
TN,Macon County,"Macon County, TN",47111,0,0,"19,882",HIV diagnoses,2018
NC,Macon County,"Macon County, NC",37113,0,0,"30,610",HIV diagnoses,2018
MO,Macon County,"Macon County, MO",29121,0,0,"12,728",HIV diagnoses,2018
IL,Macon County,"Macon County, IL",17115,16,18.2,"88,029",HIV diagnoses,2018
IL,Macoupin County,"Macoupin County, IL",17117,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
CA,Madera County,"Madera County, CA",6039,10,7.9,"126,166",HIV diagnoses,2018
VA,Madison County,"Madison County, VA",51113,0,0,"11,438",HIV diagnoses,2018
TX,Madison County,"Madison County, TX",48313,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
ID,Madison County,"Madison County, ID",16065,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
GA,Madison County,"Madison County, GA",13195,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
FL,Madison County,"Madison County, FL",12079,6,37.4,"16,043",HIV diagnoses,2018
AR,Madison County,"Madison County, AR",5087,0,0,"13,709",HIV diagnoses,2018
AL,Madison County,"Madison County, AL",1089,32,10.3,"309,576",HIV diagnoses,2018
TN,Madison County,"Madison County, TN",47113,16,19.6,"81,835",HIV diagnoses,2018
OH,Madison County,"Madison County, OH",39097,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NC,Madison County,"Madison County, NC",37115,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NY,Madison County,"Madison County, NY",36053,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
NE,Madison County,"Madison County, NE",31119,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MT,Madison County,"Madison County, MT",30057,0,0,"7,791",HIV diagnoses,2018
MO,Madison County,"Madison County, MO",29123,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MS,Madison County,"Madison County, MS",28089,13,14.9,"86,988",HIV diagnoses,2018
KY,Madison County,"Madison County, KY",21151,8,10.2,"78,550",HIV diagnoses,2018
IA,Madison County,"Madison County, IA",19121,0,0,"13,438",HIV diagnoses,2018
IN,Madison County,"Madison County, IN",18095,7,6.4,"109,784",HIV diagnoses,2018
IL,Madison County,"Madison County, IL",17119,17,7.6,"223,415",HIV diagnoses,2018
LA,Madison Parish,"Madison Parish, LA",22065,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
KY,Magoffin County,"Magoffin County, KY",21153,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
IA,Mahaska County,"Mahaska County, IA",19123,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
MN,Mahnomen County,"Mahnomen County, MN",27087,0,0,"4,198",HIV diagnoses,2018
OH,Mahoning County,"Mahoning County, OH",39099,18,9.1,"197,332",HIV diagnoses,2018
OK,Major County,"Major County, OK",40093,0,0,"6,250",HIV diagnoses,2018
OR,Malheur County,"Malheur County, OR",41045,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Manassas City,"Manassas City, VA",51683,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
VA,Manassas Park City,"Manassas Park City, VA",51685,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
FL,Manatee County,"Manatee County, FL",12081,39,11.3,"343,908",HIV diagnoses,2018
MI,Manistee County,"Manistee County, MI",26101,0,0,"21,650",HIV diagnoses,2018
WI,Manitowoc County,"Manitowoc County, WI",55071,0,0,"67,759",HIV diagnoses,2018
WI,Marathon County,"Marathon County, WI",55073,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
AL,Marengo County,"Marengo County, AL",1091,Data suppressed,Data suppressed,NA,HIV diagnoses,2018
